name,iso_country,municipality,icao_code,iata_code
Coronel Felipe Varela International Airport,AR,Catamarca,SANC,CTC
Vicecomodoro Angel D. La Paz Aragonés Airport,AR,Santiago del Estero,SANE,SDE
Capitan V A Almonacid Airport,AR,La Rioja,SANL,IRJ
Termas de Río Hondo international Airport,AR,Termas de Río Hondo,SANR,RHD
Teniente Benjamin Matienzo Airport,AR,San Miguel de Tucumán,SANT,TUC
Domingo Faustino Sarmiento Airport,AR,San Juan,SANU,UAQ
Brigadier Mayor D Cesar Raul Ojeda Airport,AR,San Luis,SAOU,LUQ
Corrientes Airport,AR,Corrientes,SARC,CNQ
Resistencia International Airport,AR,Resistencia,SARE,RES
Formosa National Airport,AR,Formosa,SARF,FMA
Cataratas Del Iguazú International Airport,AR,Puerto Iguazu,SARI,IGR
Libertador Gral D Jose De San Martin Airport,AR,Posadas,SARP,PSS
Martin Miguel De Guemes International Airport,AR,Salta,SASA,SLA
Gobernador Horacio Guzman International Airport,AR,San Salvador de Jujuy,SASJ,JUJ
General E. Mosconi Airport,AR,Comodoro Rivadavia,SAVC,CRD
Esquel Brigadier Antonio Parodi International Airport,AR,Esquel,SAVE,EQS
Las Heras Airport,AR,Las Heras,SAVH,LHS
Antoine de Saint Exupéry Airport,AR,San Antonio Oeste,SAVN,OES
Almirante Marco Andres Zar Airport,AR,Rawson,SAVT,REL
Gobernador Castello Airport,AR,Viedma / Carmen de Patagones,SAVV,VDM
El Tehuelche Airport,AR,Puerto Madryn,SAVY,PMY
Puerto Deseado Airport,AR,Puerto Deseado,SAWD,PUD
Gobernador Ramón Trejo Noel International Airport,AR,Rio Grande,SAWE,RGA
Piloto Civil N. Fernández Airport,AR,Rio Gallegos,SAWG,RGL
Ushuaia - Malvinas Argentinas International Airport,AR,Ushuaia,SAWH,USH
Perito Moreno Jalil Hamer Airport,AR,Perito Moreno,SAWP,PMQ
Gobernador Gregores Airport,AR,Gobernador Gregores,SAWR,GGS
28 de Noviembre Airport,AR,Rio Turbio,SAWT,RYO
Comandante Espora Airport,AR,Bahía Blanca,SAZB,BHI
Santa Teresita Airport,AR,Santa Teresita,SAZL,SST
Ástor Piazzola International Airport,AR,Mar del Plata,SAZM,MDQ
Presidente Peron Airport,AR,Neuquen,SAZN,NQN
Necochea Airport,AR,Necochea,SAZO,NEC
Santa Rosa Airport,AR,Santa Rosa,SAZR,RSA
San Carlos de Bariloche Airport,AR,San Carlos de Bariloche,SAZS,BRC
Aviador C. Campos Airport,AR,Chapelco/San Martin de los Andes,SAZY,CPC
Ofu Airport,AS,Ofu,NSAS,OFU
Fitiuta Airport,AS,Fitiuta Village,NSFQ,FTI
Pago Pago International Airport,AS,Pago Pago,NSTU,PPG
Graz Airport,AT,Feldkirchen bei Graz,LOWG,GRZ
Innsbruck Airport,AT,Innsbruck,LOWI,INN
Klagenfurt Airport,AT,Klagenfurt am Wörthersee,LOWK,KLU
Linz-Hörsching Airport / Vogler Air Base,AT,Linz,LOWL,LNZ
Salzburg Airport,AT,Salzburg,LOWS,SZG
Vienna International Airport,AT,Vienna,LOWW,VIE
Albany Airport,AU,Albany,YABA,ALH
Armidale Airport,AU,Armidale,YARM,ARM
Aurukun Airport,AU,Aurukun,YAUR,AUU
Ayers Rock Connellan Airport,AU,Yulara,YAYE,AYQ
Barcaldine Airport,AU,Barcaldine,YBAR,BCI
Alice Springs Airport,AU,Alice Springs,YBAS,ASP
Badu Island Airport,AU,Badu Island,YBAU,BDD
Brisbane International Airport,AU,Brisbane,YBBN,BNE
Gold Coast Airport,AU,Gold Coast,YBCG,OOL
Blackall Airport,AU,Blackall,YBCK,BKQ
Cairns International Airport,AU,Cairns,YBCS,CNS
Charleville Airport,AU,Charleville,YBCV,CTL
Broken Hill Airport,AU,Broken Hill,YBHI,BHQ
Hamilton Island Airport,AU,Hamilton Island,YBHM,HTI
Bedourie Airport,AU,Bedourie,YBIE,BEU
Busselton Margaret River Regional Airport,AU,Busselton,YBLN,BQB
Mount Isa Airport,AU,Mount Isa,YBMA,ISA
Mackay Airport,AU,Mackay,YBMK,MKY
Ballina Byron Gateway Airport,AU,Ballina,YBNA,BNK
Boigu Island Airport,AU,Boigu Island,YBOI,GIC
Proserpine Whitsunday Coast Airport,AU,Proserpine,YBPN,PPP
Rockhampton Airport,AU,Rockhampton,YBRK,ROK
Broome International Airport,AU,Broome,YBRM,BME
Sunshine Coast Airport,AU,Maroochydore,YBSU,MCY
Bathurst Airport,AU,Bathurst,YBTH,BHS
Townsville Airport / RAAF Base Townsville,AU,Townsville,YBTL,TSV
Bundaberg Airport,AU,Bundaberg,YBUD,BDB
Weipa Airport,AU,Weipa,YBWP,WEI
Toowoomba Wellcamp Airport,AU,Toowoomba,YBWW,WTB
Carnarvon Airport,AU,Carnarvon,YCAR,CVQ
Coober Pedy Airport,AU,Coober Pedy,YCBP,CPD
Cloncurry Airport,AU,Cloncurry,YCCY,CNJ
Coffs Harbour Airport,AU,Coffs Harbour,YCFS,CFS
Christmas Creek Airport,AU,Christmas Creek Mine,YCHK,CKW
Coen Airport,AU,Coen,YCOE,CUQ
Cooma Snowy Mountains Airport,AU,Cooma,YCOM,OOM
Darnley Island Airport,AU,Darnley Island,YDNI,NLF
Devonport Airport,AU,Devonport,YDPO,DPO
Elcho Island Airport,AU,Elcho Island,YELD,ELC
Emerald Airport,AU,Emerald,YEML,EMD
Esperance Airport,AU,Esperance,YESP,EPR
Flinders Island Airport,AU,Whitemark,YFLI,FLS
Geraldton Airport,AU,Moonyoonooka,YGEL,GET
Gladstone Airport,AU,Gladstone,YGLA,GLT
Groote Eylandt Airport,AU,Groote Eylandt,YGTE,GTE
Griffith Airport,AU,Griffith,YGTH,GFF
Hervey Bay Airport,AU,Hervey Bay,YHBA,HVB
Horn Island Airport,AU,Horn,YHID,HID
Hooker Creek Airport,AU,Lajamanu,YHOO,HOK
Mount Hotham Airport,AU,Mount Hotham,YHOT,MHU
Hughenden Airport,AU,Hughenden,YHUG,HGD
Karara Airport,AU,Karara,YKAR,KQR
Kalbarri Airport,AU,Kalbarri,YKBR,KAX
Kowanyama Airport,AU,Kowanyama,YKOW,KWM
Kubin Island Airport,AU,Kubin Island,YKUB,KUG
Leonora Airport,AU,Leonora,YLEO,LNO
Lord Howe Island Airport,AU,Lord Howe Island,YLHI,LDH
Lockhart River Airport,AU,Lockhart River,YLHR,IRG
Lismore Airport,AU,Lismore,YLIS,LSY
Longreach Airport,AU,Longreach,YLRE,LRE
Laverton Airport,AU,Laverton,YLTN,LVO
Mabuiag Island Airport,AU,Mabuiag Island,YMAA,UBB
Murray Island Airport,AU,Murray Island,YMAE,MYI
Avalon Airport,AU,Lara,YMAV,AVV
Albury Airport,AU,East Albury,YMAY,ABX
Melbourne Essendon Airport,AU,Essendon Fields,YMEN,MEB
Merimbula Airport,AU,Merimbula,YMER,MIM
Milingimbi Airport,AU,Milingimbi Island,YMGB,MGT
Maningrida Airport,AU,Maningrida,YMGD,MNG
Hobart International Airport,AU,Hobart (Cambridge),YMHB,HBA
McArthur River Mine Airport,AU,McArthur River Mine,YMHU,MCV
Mildura Airport,AU,Mildura,YMIA,MQL
Launceston Airport,AU,Launceston (Western Junction),YMLT,LST
Melbourne Moorabbin Airport,AU,Melbourne,YMMB,MBW
Melbourne Airport,AU,Melbourne,YMML,MEL
Moree Airport,AU,Moree,YMOR,MRZ
Moranbah Airport,AU,Moranbah,YMRB,MOV
Moruya Airport,AU,Moruya,YMRY,MYA
Mount Gambier Airport,AU,Mount Gambier,YMTG,MGB
Narrandera Airport,AU,Narrandera,YNAR,NRA
Narrabri Airport,AU,Narrabri,YNBR,NAA
Northern Peninsula Airport,AU,Bamaga,YNPE,ABM
Normanton Airport,AU,Normanton,YNTN,NTN
Newman Airport,AU,Newman,YNWN,ZNE
Olympic Dam Airport,AU,Olympic Dam,YOLD,OLP
Adelaide International Airport,AU,Adelaide,YPAD,ADL
Paraburdoo Airport,AU,Paraburdoo,YPBO,PBO
Darwin International Airport / RAAF Darwin,AU,Darwin,YPDN,DRW
Gove Airport,AU,Nhulunbuy,YPGV,GOV
Karratha Airport,AU,Karratha,YPKA,KTA
Kalgoorlie Boulder Airport,AU,Broadwood,YPKG,KGI
Parkes Airport,AU,Parkes,YPKS,PKE
East Kimberley Regional (Kununurra) Airport,AU,Kununurra,YPKU,KNX
Port Lincoln Airport,AU,Port Lincoln,YPLC,PLO
Learmonth Airport,AU,Exmouth,YPLM,LEA
Prominent Hill Airport,AU,Mount Eba,YPMH,PXH
Pormpuraaw Airport,AU,Pormpuraaw,YPMP,EDR
Port Macquarie Airport,AU,Port Macquarie,YPMQ,PQQ
Port Hedland International Airport,AU,Port Hedland,YPPD,PHE
Perth International Airport,AU,Perth,YPPH,PER
Roma Airport,AU,Roma,YROM,RMA
Canberra Airport,AU,Canberra,YSCB,CBR
Dubbo City Regional Airport,AU,Dubbo,YSDU,DBO
Shark Bay Airport,AU,Denham,YSHK,MJK
Saibai Island Airport,AU,Saibai Island,YSII,SBR
Sydney Kingsford Smith International Airport,AU,Sydney (Mascot),YSSY,SYD
Tamworth Airport,AU,Tamworth,YSTW,TMW
Wagga Wagga Airport,AU,Forest Hill,YSWG,WGA
Thargomindah Airport,AU,Thargomindah,YTGM,XTG
Thangool Airport,AU,Biloela,YTNG,THG
Tennant Creek Airport,AU,Tennant Creek,YTNK,TCA
Warraber Island Airport,AU,Sue Islet,YWBS,SYU
Windorah Airport,AU,Windorah,YWDH,WNR
Whyalla Airport,AU,Whyalla,YWHA,WYA
Newcastle Airport,AU,Williamtown,YWLM,NTL
Wynyard Airport,AU,Burnie,YWYY,BWT
Yorke Island Airport,AU,Yorke Island,YYKI,OKR
Yam Island Airport,AU,Yam Island,YYMI,XMY
Queen Beatrix International Airport,AW,Oranjestad,TNCA,AUA
Heydar Aliyev International Airport,AZ,Baku,UBBB,GYD
Ganja International Airport,AZ,Ganja,UBBG,GNJ
Lankaran International Airport,AZ,Lankaran,UBBL,LLK
Nakhchivan Airport,AZ,Nakhchivan,UBBN,NAJ
Gabala International Airport,AZ,Gabala,UBBQ,GBB
Banja Luka International Airport,BA,Mahovljani,LQBK,BNX
Mostar International Airport,BA,Mostar,LQMO,OMO
Sarajevo International Airport,BA,Sarajevo,LQSA,SJJ
Tuzla International Airport,BA,Dubrave Gornje,LQTZ,TZL
Grantley Adams International Airport,BB,Bridgetown,TBPB,BGI
Barisal Airport,BD,Barisal,VGBR,BZL
Cox's Bazar Airport,BD,Cox's Bazar,VGCB,CXB
Shah Amanat International Airport,BD,Chattogram (Chittagong),VGEG,CGP
Hazrat Shahjalal International Airport,BD,Dhaka,VGHS,DAC
Jessore Airport,BD,Jashore (Jessore),VGJR,JSR
Shah Mokhdum Airport,BD,Rajshahi,VGRJ,RJH
Saidpur Airport,BD,Saidpur,VGSD,SPD
Osmany International Airport,BD,Sylhet,VGSY,ZYL
Antwerp International Airport (Deurne),BE,Antwerp,EBAW,ANR
Brussels Airport,BE,Zaventem,EBBR,BRU
Brussels South Charleroi Airport,BE,Charleroi,EBCI,CRL
Liège Airport,BE,Grâce-Hollogne,EBLG,LGG
Oostende-Brugge International Airport,BE,Oostende,EBOS,OST
Ouagadougou Airport,BF,Ouagadougou,DFFD,OUA
Bobo Dioulasso Airport,BF,Bobo Dioulasso,DFOO,BOY
Burgas Airport,BG,Burgas,LBBG,BOJ
Plovdiv International Airport,BG,Plovdiv,LBPD,PDV
Sofia Airport,BG,Sofia,LBSF,SOF
Varna Airport,BG,Varna,LBWN,VAR
Bahrain International Airport,BH,Manama,OBBI,BAH
Bujumbura Melchior Ndadaye International Airport,BI,Bujumbura,HBBA,BJM
Kirundo Airport,BI,Kirundo,HBBO,KRE
Cadjehoun Airport,BJ,Cotonou,DBBB,COO
Saint Barthélemy - Gustaf III Airport,BL,Gustavia,TFFJ,SBH
L.F. Wade International Airport,BM,Hamilton,TXKF,BDA
Brunei International Airport,BN,Bandar Seri Begawan,WBSB,BWN
Jorge Wilsterman International Airport,BO,Cochabamba,SLCB,CBB
Capitán Aníbal Arab Airport,BO,Cobija,SLCO,CIJ
El Trompillo Airport,BO,Santa Cruz,SLET,SRZ
Chimore Airport,BO,Chimore,SLHI,CCA
El Alto International Airport,BO,La Paz / El Alto,SLLP,LPB
Puerto Rico Airport,BO,Puerto Rico/Manuripi,SLPR,PUR
Capitán Av. Salvador Ogaya G. airport,BO,Puerto Suárez,SLPS,PSZ
Capitán Av. Selin Zeitun Lopez Airport,BO,Riberalta,SLRI,RIB
Rurrenabaque Airport,BO,Rurrenabaque,SLRQ,RBQ
Capitan Oriel Lea Plaza Airport,BO,Tarija,SLTJ,TJA
Uyuni Joya Andina Airport,BO,Quijarro,SLUY,UYU
Viru Viru International Airport,BO,Santa Cruz,SLVR,VVI
Flamingo International Airport,BQ,Kralendijk,TNCB,BON
F. D. Roosevelt Airport,BQ,Oranjestad,TNCE,EUX
Juancho E. Yrausquin Airport,BQ,Zion's Hill,TNCS,SAB
Glauber de Andrade Rocha Airport,BR,Vitória da Conquista,SBVC,VDC
Bauru/Arealva–Moussa Nakhal Tobias State Airport,BR,Bauru,SBAE,JTC
Araraquara Airport,BR,Araraquara,SBAQ,AQA
Aracaju - Santa Maria International Airport,BR,Aracaju,SBAR,AJU
Piloto Osvaldo Marques Dias Airport,BR,Alta Floresta,SBAT,AFL
Araçatuba Airport,BR,Araçatuba,SBAU,ARU
Romeu Zema Airport,BR,Araxá,SBAX,AAX
Val de Cans/Júlio Cezar Ribeiro International Airport,BR,Belém,SBBE,BEL
Presidente Juscelino Kubitschek International Airport,BR,Brasília,SBBR,BSB
Atlas Brasil Cantanhede Airport,BR,Boa Vista,SBBV,BVB
Coronel Adalberto Mendes da Silva Airport,BR,Cascavel,SBCA,CAC
Cabo Frio Airport,BR,Cabo Frio,SBCB,CFB
Tancredo Neves International Airport,BR,Belo Horizonte,SBCF,CNF
Campo Grande Airport,BR,Campo Grande,SBCG,CGR
Serafin Enoss Bertaso Airport,BR,Chapecó,SBCH,XAP
Carajás Airport,BR,Parauapebas,SBCJ,CKS
Nelson Ribeiro Guimarães Airport,BR,Caldas Novas,SBCN,CLV
Bartolomeu Lisandro Airport,BR,Campos dos Goytacazes,SBCP,CAW
Corumbá International Airport,BR,Corumbá,SBCR,CMG
Afonso Pena Airport,BR,Curitiba,SBCT,CWB
Hugo Cantergiani Regional Airport,BR,Caxias Do Sul,SBCX,CXJ
Marechal Rondon Airport,BR,Cuiabá,SBCY,CGB
Cruzeiro do Sul Airport,BR,Cruzeiro Do Sul,SBCZ,CZS
Bonito Airport,BR,Bonito,SBDB,BYO
Presidente Prudente Airport,BR,Presidente Prudente,SBDN,PPB
Eduardo Gomes International Airport,BR,Manaus,SBEG,MAO
Cataratas International Airport,BR,Foz do Iguaçu,SBFI,IGU
Hercílio Luz International Airport,BR,Florianópolis,SBFL,FLN
Fernando de Noronha Airport,BR,Fernando de Noronha,SBFN,FEN
Pinto Martins International Airport,BR,Fortaleza,SBFZ,FOR
Rio Galeão – Tom Jobim International Airport,BR,Rio De Janeiro,SBGL,GIG
Santa Genoveva Airport,BR,Goiânia,SBGO,GYN
Guarulhos - Governador André Franco Montoro International Airport,BR,São Paulo,SBGR,GRU
Coronel Altino Machado Airport,BR,Governador Valadares,SBGV,GVR
Altamira Interstate Airport,BR,Altamira,SBHT,ATM
Itaituba Airport,BR,Itaituba,SBIH,ITB
Bahia - Jorge Amado Airport,BR,Ilhéus,SBIL,IOS
Usiminas Airport,BR,Ipatinga,SBIP,IPN
Prefeito Renato Moreira Airport,BR,Imperatriz,SBIZ,IMP
Humberto Ghizzo Bortoluzzi Regional Airport,BR,Jaguaruna,SBJA,JJG
Comandante Ariston Pessoa Airport,BR,Cruz,SBJE,JJD
Francisco de Assis Airport,BR,Juiz de Fora,SBJF,JDF
Presidente Castro Pinto International Airport,BR,João Pessoa,SBJP,JPA
Orlando Bezerra de Menezes Airport,BR,Juazeiro do Norte,SBJU,JDO
Lauro Carneiro de Loyola Airport,BR,Joinville,SBJV,JOI
Presidente João Suassuna Airport,BR,Campina Grande,SBKG,CPV
Viracopos International Airport,BR,Campinas,SBKP,VCP
Coronel Horácio de Mattos Airport,BR,Lençóis,SBLE,LEC
Lages Airport,BR,Lages,SBLJ,LAJ
Governor José Richa Airport,BR,Londrina,SBLO,LDB
João Correa da Rocha Airport,BR,Marabá,SBMA,MAB
Regional de Maringá - Sílvio Name Júnior Airport,BR,Maringá,SBMG,MGF
Mário Ribeiro Airport,BR,Montes Claros,SBMK,MOC
Frank Miloye Milenkowichi–Marília State Airport,BR,Marília,SBML,MII
Zumbi dos Palmares Airport,BR,Maceió,SBMO,MCZ
Macapá - Alberto Alcolumbre International Airport,BR,Macapá,SBMQ,MCP
Dix-Sept Rosado Airport,BR,Mossoró,SBMS,MVF
Manicoré Airport,BR,Manicoré,SBMY,MNX
Ministro Victor Konder International Airport,BR,Navegantes,SBNF,NVT
Santo Ângelo Airport,BR,Santo Ângelo,SBNM,GEL
Salgado Filho International Airport,BR,Porto Alegre,SBPA,POA
Parnaíba - Prefeito Doutor João Silva Filho International Airport,BR,Parnaíba,SBPB,PHB
Lauro Kurtz Airport,BR,Passo Fundo,SBPF,PFB
Ponta Grossa Airport - Comandante Antonio Amilton Beraldo,BR,Ponta Grossa,SBPG,PGZ
Brigadeiro Lysias Rodrigues Airport,BR,Palmas,SBPJ,PMW
João Simões Lopes Neto International Airport,BR,Pelotas,SBPK,PET
Senador Nilo Coelho Airport,BR,Petrolina,SBPL,PNZ
Ponta Porã Airport,BR,Ponta Porã,SBPP,PMG
Porto Seguro Airport,BR,Porto Seguro,SBPS,BPS
Governador Jorge Teixeira de Oliveira Airport,BR,Porto Velho,SBPV,PVH
Rio Branco-Plácido de Castro International Airport,BR,Rio Branco,SBRB,RBR
Maestro Marinho Franco Airport,BR,Rondonópolis,SBRD,ROO
Recife/Guararapes - Gilberto Freyre International Airport,BR,Recife,SBRF,REC
Santos Dumont Airport,BR,Rio de Janeiro,SBRJ,SDU
Leite Lopes Airport,BR,Ribeirão Preto,SBRP,RAO
Presidente João Batista Figueiredo Airport,BR,Sinop,SBSI,OPS
Professor Urbano Ernesto Stumpf Airport,BR,São José Dos Campos,SBSJ,SJK
Marechal Cunha Machado International Airport,BR,São Luís,SBSL,SLZ
Santa Maria Airport,BR,Santa Maria,SBSM,RIA
Santarém - Maestro Wilson Fonseca International Airport,BR,Santarém,SBSN,STM
Congonhas Airport,BR,São Paulo,SBSP,CGH
Prof. Eribelto Manoel Reino State Airport,BR,São José do Rio Preto,SBSR,SJP
Deputado Luiz Eduardo Magalhães International Airport,BR,Salvador,SBSV,SSA
Trombetas Airport,BR,Oriximiná,SBTB,TMT
Una-Comandatuba Airport,BR,Una,SBTC,UNA
Toledo - Luiz Dalcanale Filho Municipal Airport,BR,Toledo,SBTD,TOW
Senador Petrônio Portela Airport,BR,Teresina,SBTE,THE
Tefé Airport,BR,Tefé,SBTF,TFF
Plínio Alarcom Airport,BR,Três Lagoas,SBTG,TJL
Tabatinga Airport,BR,Tabatinga,SBTT,TBT
Tucuruí Airport,BR,Tucuruí,SBTU,TUR
São Gabriel da Cachoeira Airport,BR,São Gabriel da Cachoeira,SBUA,SJL
Paulo Afonso Airport,BR,Paulo Afonso,SBUF,PAV
Rubem Berta Airport,BR,Uruguaiana,SBUG,URG
Ten. Cel. Aviador César Bombonato Airport,BR,Uberlândia,SBUL,UDI
Mário de Almeida Franco Airport,BR,Uberaba,SBUR,UBA
Brigadeiro Camarão Airport,BR,Vilhena,SBVH,BVH
Eurico de Aguiar Salles Airport,BR,Vitória,SBVT,VIX
Presidente Itamar Franco Airport,BR,Juiz de Fora,SBZM,IZA
Sorocaba Airport,BR,Sorocaba,SDCO,SOD
Dom Ricardo Weberberger Airport,BR,Barreiras,SNBR,BRA
Guarapari Airport,BR,Guarapari,SNGA,GUZ
Santa Magalhães Airport,BR,Serra Talhada,SNHS,SET
Caruaru Airport,BR,Caruaru,SNRU,CAU
Valença Airport,BR,Valença,SNVB,VAL
Breves Airport,BR,Breves,SNVS,BVS
Almeirim Airport,BR,Almeirim,SNYA,GGF
Canela Airport,BR,Canela,SSCN,CEL
Paulo Abdala Airport,BR,Francisco Beltrão,SSFB,FBE
Guaíra Airport,BR,Guaíra,SSGY,GGJ
Cacoal Airport,BR,Cacoal,SSKW,OAL
Orlando de Carvalho Airport,BR,Umuarama,SSUM,UMU
José Cleto Airport,BR,União da Vitória,SSUV,UVI
Luis Alberto Lehr Airport,BR,Santa Rosa,SSZR,SRA
Barcelos Airport,BR,Barcelos,SWBC,BAZ
Borba Airport,BR,Borba,SWBR,RBB
Carauari Airport,BR,Carauari,SWCA,CAF
Araguaína Airport,BR,Araguaína,SWGN,AUX
Lábrea Airport,BR,Lábrea,SWLB,LBR
Tapuruquara Airport,BR,Santa Isabel Do Rio Negro,SWTP,IRZ
Tangará da Serra Airport,BR,Tangará da Serra,SWTS,TGQ
Congo Town Airport,BS,Andros,MYAK,TZN
Leonard M Thompson International Airport,BS,Marsh Harbour,MYAM,MHH
San Andros Airport,BS,Andros Island,MYAN,SAQ
Spring Point Airport,BS,Spring Point,MYAP,AXP
Treasure Cay Airport,BS,Treasure Cay,MYAT,TCB
Chub Cay Airport,BS,Chub Cay,MYBC,CCZ
South Bimini Airport,BS,South Bimini,MYBS,BIM
Arthur's Town Airport,BS,Arthur's Town,MYCA,ATC
New Bight Airport,BS,Cat Island,MYCB,TBI
Colonel Hill Airport,BS,Colonel Hill,MYCI,CRI
Exuma International Airport,BS,Moss Town,MYEF,GGT
North Eleuthera Airport,BS,North Eleuthera,MYEH,ELH
Governor's Harbour Airport,BS,Governor's Harbour,MYEM,GHB
Grand Bahama International Airport,BS,Freeport,MYGF,FPO
Inagua Airport,BS,Matthew Town,MYIG,IGA
Deadman's Cay Airport,BS,Deadman's Cay,MYLD,LGI
Stella Maris Airport,BS,Stella Maris,MYLS,SML
Mayaguana Airport,BS,Abraham Bay Settlement,MYMM,MYG
Lynden Pindling International Airport,BS,Nassau,MYNN,NAS
San Salvador Airport,BS,San Salvador,MYSM,ZSA
Bathpalathang Airport,BT,Jakar,VQBT,BUT
Paro International Airport,BT,Paro,VQPR,PBH
Yongphulla Airport,BT,Yongphulla,VQTY,YON
P G Matante Intl,BW,Francistown,FBPM,FRW
Kasane Airport,BW,Kasane,FBKE,BBK
Maun Airport,BW,Maun,FBMN,MUB
Sir Seretse Khama International Airport,BW,Gaborone,FBSK,GBE
Shakawe Airport,BW,Shakawe,FBSW,SWX
Brest Airport,BY,Brest,UMBB,BQT
Gomel Airport,BY,Gomel,UMGG,GME
Minsk National Airport,BY,Minsk,UMMS,MSQ
Mogilev Airport,BY,Mogilev,UMOO,MVQ
Philip S. W. Goldson International Airport,BZ,Belize City,MZBZ,BZE
Placencia Airport,BZ,Placencia,MZPL,PLJ
Bella Bella (Campbell Island) Airport,CA,Bella Bella,CBBC,ZEL
Arctic Bay Airport,CA,Arctic Bay,CYAB,YAB
Cat Lake Airport,CA,Cat Lake,CYAC,YAC
Fort Frances Municipal Airport,CA,Fort Frances,CYAG,YAG
Alert Bay Airport,CA,Alert Bay,CYAL,YAL
Sault Ste Marie Airport,CA,Sault Ste Marie,CYAM,YAM
Kasabonika Airport,CA,Kasabonika,CYAQ,XKS
Kangirsuk Airport,CA,Kangirsuk,CYAS,YKG
Attawapiskat Airport,CA,Attawapiskat,CYAT,YAT
St. Anthony Airport,CA,St. Anthony,CYAY,YAY
Tofino / Long Beach Airport,CA,Tofino,CYAZ,YAZ
Kugaaruk Airport,CA,Kugaaruk,CYBB,YBB
Baie-Comeau Airport,CA,Baie-Comeau,CYBC,YBC
Bella Coola Airport,CA,Bella Coola,CYBD,QBC
Uranium City Airport,CA,Uranium City,CYBE,YBE
Bonnyville Airport,CA,Bonnyville,CYBF,YBY
CFB Bagotville / Saguenay-Bagotville Airport,CA,La Baie,CYBG,YBG
Baker Lake Airport,CA,Baker Lake,CYBK,YBK
Campbell River Airport,CA,Campbell River,CYBL,YBL
Tadoule Lake Airport,CA,Tadoule Lake,CYBQ,XTL
Brandon Municipal Airport,CA,Brandon,CYBR,YBR
Brochet Airport,CA,Brochet,CYBT,YBT
Berens River Airport,CA,Berens River,CYBV,YBV
Lourdes-de-Blanc-Sablon Airport,CA,Blanc-Sablon,CYBX,YBX
Cartwright Airport,CA,Cartwright,CYCA,YRF
Cambridge Bay Airport,CA,Cambridge Bay,CYCB,YCB
Nanaimo Airport,CA,Nanaimo,CYCD,YCD
Castlegar/West Kootenay Regional Airport,CA,Castlegar,CYCG,YCG
Charlo Airport,CA,Charlo,CYCL,YCL
Kugluktuk Airport,CA,Kugluktuk,CYCO,YCO
Cross Lake (Charlie Sinclair Memorial) Airport,CA,Cross Lake,CYCR,YCR
Chesterfield Inlet Airport,CA,Chesterfield Inlet,CYCS,YCS
Clyde River Airport,CA,Clyde River,CYCY,YCY
Dawson City Airport,CA,Dawson City,CYDA,YDA
Deer Lake Airport,CA,Deer Lake,CYDF,YDF
